Estacion,Provincia,2014,2015,2016,2017,2018,2019,2020,2021,2022,Gestion,Nivel
LE182,Leon,,0.04,,,0.18,,,0.61,,L,2
LE183,Leon,,0.01,,,0.2,,,0.54,,L,2
LE184,Leon,,,,,0.08,,,0.18,,L,2
LE185,Leon,,0.001,,,0.002,,,0.02,,L,2
LE186,Leon,,,,,0.07,,,0.2,,L,2
LE187,Leon,,0.11,,,0.09,,,0.38,,L,2
LE188,Leon,,0.09,,,0.09,,,0.24,,CCM,2
LE190,Leon,,0.06,,,0.14,,,0.41,,L,2
LE191,Leon,,0.04,,,0.05,,,0.08,,L,2
LE198,Leon,,0.14,,,0.36,,,0.53,,CSM,
LE219,Leon,0.02,,,0.05,,,0.08,,,L,2
LE222,Leon,0.1,,,0.87,,,0.25,,,L,2
LE223,Leon,,,,,,,0.24,,,L,2
LE225,Leon,,,,,,,0.24,,,L,2
LE228,Leon,,,,,,,0.09,,,L,2
LE231,Leon,,,,,,,0.12,,,CCM,2
LE243,Leon,,,,,,,0.15,,,L,2
LE271,Leon,,,,,,,,0.004,,V,2
LE273,Leon,,,,,0.05,,,0.34,,L,2
LE348,Leon,,,,,,,0.45,,,L,2
LE430,Leon,,0.14,,,0.04,,,0.1,,L,2
LE432,Leon,,0.03,,,0.02,,,0.06,,L,2
LE842,Leon,,0.0014,,,0.01,,,0.03,,L,2
LE-AREC-3,Leon,,,,,0.13,,,0.61,,AREC,2
LE-AREC-7,Leon,,,,,0.02,,,0.07,,AREC,2
PA002,Palencia,0.12,0.12,0.13,0.13,0.05,0.07,0.09,0.14,,CSM,1
PA019,Palencia,,0.12,,0.09,0.04,0.04,0.06,0.08,,L,1
PA024,Palencia,,0.14,,0.13,0.04,0.03,0.02,0.06,,L,1
PA031,Palencia,0.26,0.24,0.26,0.41,0.2,0.32,0.4,0.09,,CSM,1
PA004,Palencia,0.173,,,0.348,,,,,,CCM,2
PA005,Palencia,0.015,,,0.296,,,,,,L,2
PA006,Palencia,0.308,,,0.352,,,,,,CSM,2
PA007,Palencia,0.083,,,0.356,,,,,,CCM,2
PA008,Palencia,0.082,,,0.238,,,,,,EDS,2
PA009,Palencia,0.178,,,0.561,,,,,,L,2
PA010,Palencia,0.13,,,0.079,,,,,,CSM,2
PA011,Palencia,0.037,,,0.027,,,,,,CSM,2
PA013,Palencia,0.341,,,0.279,,,,,,CSM,2
PA014,Palencia,0.077,,,0.064,,,,,,L,2
PA015,Palencia,0.037,,,0.087,,,,,,L,2
PA029,Palencia,0.325,,,0.38,,,,,,CCM,2
SA001,Salamanca,0.18,,0.34,0.66,0.54,0.38,0.86,0.94,,L,1
SA002,Salamanca,0.01,,0.3,0.11,,0.02,0.02,0.04,,L,1
SA025,Salamanca,1.06,,,,0.01,0.023,0.01,0.02,,L,1
SG001,Segovia,,,0.05,0.03,0.05,0.04,0.04,0.12,,CCM,1
SG002,Segovia,0.001,0.005,0.01,0.004,0.003,0.003,0.02,0.02,,CCM,1
SG010,Segovia,0.4,,,0.08,0.02,0.09,0.23,0.14,,CCM,1
SG022,Segovia,,,0.2,0.05,0.03,0.09,0.12,0.22,,V,1
SG006,Segovia,0.04,,,0.0586,,,,,,CCM,2
SG007,Segovia,0.02,,,0.0487,,,,,,CCM,2
SG008,Segovia,0.04,,,0.058,,,,,,CSM,2
SG011,Segovia,0.01,,,0.0323,,,,,,L,2
SO001,Soria,0.03,0.04,0.05,0.11,0.04,0.04,0.08,0.16,,CCM,1
SO002,Soria,0.07,0.09,0.05,0.18,0.21,0.14,0.28,0.11,,CSM,1
SO012,Soria,,,0.21,0.29,0.17,0.24,0.49,0.24,,L,1
SO018,Soria,,,0.11,0.13,0.1,0.05,0.04,0.13,,L,1
SO022,Soria,0.05,,,0.3,,,,,,L,2
SO023,Soria,0.02,,,0.08,,,,,,L,2
SO024,Soria,0.01,,,0.05,,,,,,CCM,2
SO025,Soria,0.05,,,0.2,,,,,,L,2
SO026,Soria,,,,0.004,,,,,,L,2
SO027,Soria,0.02,,,0.01,,,,,,EDS,2
SO028,Soria,,,,0.11,,,,,,L,2
SO029,Soria,0.05,,,0.02,,,,,,L,2
VA001,Valladolid,,,,,0.004,0.01,0.006,0.003,,L,1
VA002,Valladolid,0.07,,0.06,0.05,0.04,0.05,0.04,0.07,,ARE,1
VA003,Valladolid,NA,0.003,0.002,,0.002,0.02,,,,L,1
VA014,Valladolid,,0.009,,0.06,0.07,0.05,0.08,0.06,,L,1
VA026,Valladolid,,,0.01,0.02,0.03,0.05,0.006,0.07,,L,1
ZA001,Zamora,,0.04,0.004,0.02,,0.03,0.02,0.02,,CCM,1
ZA002,Zamora,0.09,,0.09,0.09,,0.05,0.07,0.06,,CSM,1
ZA003,Zamora,0.03,,,0.32,,0.13,0.05,0.16,,L,1
ZA004,Zamora,,0.42,0.22,0.58,,0.38,0.6,0.61,,L,1
ZA005,Zamora,0.45,0.18,0.19,0.26,,0.19,0.08,0.06,,L,1
ZA012,Zamora,,,0.23,0.2,,0.07,0.2,0.19,,L,1
ZA029,Zamora,,0.3,,0.45,,0.11,0.37,0.36,,L,1
ZA016,Zamora,0.05,,,0.02,,,,,,CCM,2
ZA017,Zamora,0.23,,,0.32,,,,,,L,2
ZA019,Zamora,0.21,,,0.18,,,,,,L,2
ZA020,Zamora,,,,0.001,,,,,,L,2
ZA021,Zamora,0.06,,,0.06,,,,,,V,2
ZA023,Zamora,0.08,,,0.02,,,,,,L,2
