Estacion,Provincia,2014,2015,2016,2017,2018,2019,2020,2021,2022,Gestion,Nivel
LE-AREC-7,Leon,,,,,2.89,,,3.37,,AREC,2
PA002,Palencia,10.01,8.64,12.95,11.2,5.43,6.06,6.56,5.38,,CSM,1
PA019,Palencia,,8.32,,10.38,4.71,5.04,8.11,10.1,,L,1
PA024,Palencia,,4.12,,3.19,2.08,0.95,1.9,1.86,,L,1
PA031,Palencia,67.36,7.9,10.87,5.74,5.7,7.74,28.41,6.58,,CSM,1
PA004,Palencia,5.36,,,10.53,,,,,,CCM,2
PA005,Palencia,0.58,,,4.52,,,,,,L,2
PA006,Palencia,14.19,,,10.63,,,,,,CSM,2
PA007,Palencia,5.76,,,7.87,,,,,,CCM,2
PA008,Palencia,9,,,4.81,,,,,,EDS,2
PA009,Palencia,14.27,,,9.89,,,,,,L,2
PA010,Palencia,9.38,,,2.04,,,,,,CSM,2
PA011,Palencia,1.87,,,0.72,,,,,,CSM,2
PA013,Palencia,8.37,,,3.24,,,,,,CSM,2
PA014,Palencia,14.43,,,2.53,,,,,,L,2
PA015,Palencia,4.86,,,3.65,,,,,,L,2
PA029,Palencia,15.42,,,17.85,,,,,,CCM,2
SA001,Salamanca,6.03,,,14.74,26.96,9.79,31.7,21.63,,L,1
SA002,Salamanca,0.58,,,2.51,,0.91,1.25,0.38,,L,1
SA025,Salamanca,0.04,,,,0.4,0.83,0.39,0.54,,L,1
SG001,Segovia,,,3.38,2.79,1.77,2.26,4.56,3.87,,CCM,1
SG002,Segovia,1.03,0.06,1.61,1.62,1.13,0.56,0.3,1.07,,CCM,1
SG010,Segovia,3,,,8.36,1.11,3.6,7.05,8.66,,CCM,1
SG022,Segovia,,,5.78,2.09,1.22,3.07,3.47,5.69,,V,1
SG006,Segovia,0.61,,,0.68,,,,,,CCM,2
SG007,Segovia,3.66,,,2.84,,,,,,CCM,2
SG008,Segovia,2.07,,,2.92,,,,,,CSM,2
SG011,Segovia,1.44,,,1.84,,,,,,L,2
SO001,Soria,2.04,1.98,2.57,4.64,1.92,1.91,3.03,5.79,,CCM,1
SO002,Soria,17.3,8.1,7.8,7.5,13.65,20.9,17.9,19.24,,CSM,1
SO012,Soria,,,6.15,10.7,8.29,7.93,15.1,7.31,,L,1
SO018,Soria,,,5.33,5.71,4.13,0.64,0.95,3.7,,L,1
SO022,Soria,4.45,,,5.8,,,,,,L,2
SO023,Soria,2.3,,,8.16,,,,,,L,2
SO024,Soria,0.59,,,1.75,,,,,,CCM,2
SO025,Soria,3.19,,,,,,,,,L,2
SO026,Soria,,,,0.57,,,,,,L,2
SO027,Soria,0.45,,,0.59,,,,,,EDS,2
SO028,Soria,,,,3.04,,,,,,L,2
SO029,Soria,1.32,,,0.91,,,,,,L,2
VA001 ,Valladolid,,,,,0.26,0.07,0.5,1.12,,L,1
VA002,Valladolid,4.1,,3.59,3.03,3.01,3.18,5.89,3.11,,ARE,1
VA003,Valladolid,0.51,0.64,0.2,,0.1,0.11,,,,L,1
VA014,Valladolid,,1.54,,1.18,2.26,1.95,5.29,2.75,,L,1
VA026,Valladolid,,,0.27,1.61,0.44,0.59,0.27,1.31,,L,1
